,0
2625,1
2626,1
2627,1
2628,2
2629,1
2630,3
2631,1
2632,1
2633,1
2634,2
2635,1
2636,1
2637,1
2638,1
2639,3
2640,3
2641,1
2642,1
2643,2
2644,1
2645,3
2646,1
2647,1
2648,1
2649,1
2650,3
2651,3
2652,1
2653,3
2654,1
2655,1
2656,1
2657,11
2658,3
2659,5
2660,11
2661,1
2662,2
2663,1
2664,1
2665,1
2666,1
2667,1
2668,2
2669,1
2670,1
2671,1
2672,1
2673,4
2674,1
2675,1
2676,4
2677,2
2678,4
2679,3
2680,3
2681,3
2682,3
2683,2
2684,4
2685,1
2686,1
2687,1
2688,1
2689,2
2690,1
2691,1
2692,3
2693,1
2694,4
2695,2
2696,4
2697,3
2698,1
2699,2
2700,2
2701,1
2702,4
2703,4
2704,1
2705,1
2706,1
2707,1
2708,5
2709,2
2710,5
2711,1
2712,2
2713,4
2714,2
2715,1
2716,2
2717,1
2718,2
2719,1
2720,2
2721,3
2722,4
2723,4
2724,4
2725,2
2726,2
2727,1
2728,2
2729,4
2730,3
2731,1
2732,1
2733,1
2734,10
2735,3
2736,2
2737,4
2738,1
2739,2
2740,3
2741,1
2742,2
2743,1
2744,3
2745,2
2746,5
2747,2
2748,1
2749,7
2750,1
2751,3
2752,3
2753,3
2754,3
2755,2
2756,1
2757,3
2758,5
2759,1
2760,1
2761,1
2762,3
2763,1
2764,3
2765,3
2766,1
2767,4
2768,4
2769,2
2770,1
2771,5
2772,3
2773,2
2774,1
2775,2
2776,10
2777,3
2778,2
2779,2
2780,4
2781,3
2782,6
2783,1
2784,9
2785,1
2786,4
2787,1
2788,5
2789,5
2790,1
2791,2
2792,4
2793,2
2794,2
2795,5
2796,2
2797,1
2798,12
2799,15
2800,3
2801,1
2802,2
2803,1
2804,1
2805,2
2806,2
2807,5
2808,1
2809,3
2810,2
2811,5
2812,1
2813,3
2814,2
2815,1
2816,1
2817,1
2818,3
2819,1
2820,2
2821,1
2822,1
2823,1
2824,1
2825,1
2826,2
2827,1
2828,2
2829,2
2830,2
2831,1
2832,9
2833,1
2834,1
2835,2
2836,1
2837,3
2838,1
2839,1
2840,1
2841,1
2842,1
2843,1
2844,2
2845,1
2846,1
2847,1
2848,3
2849,1
2850,1
2851,1
2852,1
2853,1
2854,1
2855,1
2856,3
2857,2
2858,1
2859,1
2860,5
2861,1
2862,1
2863,2
2864,1
2865,2
2866,1
2867,1
2868,1
2869,1
2870,1
2871,1
2872,2
2873,2
2874,5
2875,3
2876,2
2877,1
2878,1
2879,1
2880,2
2881,3
2882,6
2883,1
2884,6
2885,1
2886,2
2887,1
2888,1
2889,4
2890,2
2891,1
2892,3
2893,1
2894,1
2895,1
2896,9
2897,3
2898,1
2899,3
2900,3
2901,2
2902,1
2903,5
2904,4
2905,1
2906,1
2907,1
2908,3
2909,3
2910,1
2911,1
2912,1
2913,4
2914,3
2915,1
2916,1
2917,1
2918,2
2919,4
2920,1
2921,1
2922,2
2923,3
2924,2
2925,2
2926,1
2927,3
2928,3
2929,3
2930,3
2931,3
2932,1
2933,1
2934,1
2935,1
2936,6
2937,3
2938,1
2939,3
2940,2
2941,1
2942,4
2943,2
2944,2
2945,1
2946,4
2947,1
2948,2
2949,1
2950,2
2951,1
2952,1
2953,5
2954,1
2955,1
2956,1
2957,2
2958,1
2959,1
2960,1
2961,3
2962,1
2963,1
2964,1
2965,4
2966,3
2967,1
2968,1
2969,3
2970,1
2971,1
2972,3
2973,1
2974,1
2975,2
2976,1
2977,2
2978,2
2979,1
2980,2
2981,3
2982,1
2983,1
2984,2
2985,1
2986,3
2987,2
2988,3
2989,1
2990,1
2991,1
2992,1
2993,2
2994,1
2995,1
